"Maternal mortality ratio (deaths per 100,000 live births)"
"98","Fiji","63","","51","","42","","39","","34","","33"," a","33"," a","32"," a","31"," a","30",""
"12","Finland","6","","5","","5","","4","","3","","3"," a","3"," a","3"," a","3"," a","3",""
"26","France","15","","15","","12","","10","","9","","9"," a","9"," a","9"," a","9"," a","8",""
"115","Gabon","422","","405","","405","","370","","322","","317"," a","314"," a","308"," a","295"," a","291",""
"174","Gambia","1030","","977","","887","","807","","753","","753"," a","741"," a","730"," a","719"," a","706",""
"70","Georgia","34","","35","","37","","37","","40","","39"," a","39"," a","38"," a","37"," a","36",""
"4","Germany","11","","9","","8","","7","","7","","7"," a","7"," a","6"," a","6"," a","6",""
"142","Ghana","634","","532","","467","","376","","325","","320"," a","324"," a","321"," a","322"," a","319",""
"32","Greece","5","","4","","4","","3","","3","","3"," a","3"," a","3"," a","3"," a","3",""
"78","Grenada","41","","37","","29","","25","","27","","27"," a","27"," a","27"," a","27"," a","27",""
"126","Guatemala","205","","173","","178","","120","","109","","103"," a","105"," a","99"," a","93"," a","88",""
"174","Guinea","1040","","964","","976","","831","","720","","711"," a","695"," a","695"," a","688"," a","679",""
"178","Guinea-Bissau","907","","780","","800","","714","","570","","563"," a","553"," a","554"," a","553"," a","549",""
"123","Guyana","171","","205","","210","","232","","241","","239"," a","239"," a","236"," a","233"," a","229",""
"169","Haiti","625","","544","","505","","459","","389","","369"," a","372"," a","370"," a","367"," a","359",""
"132","Honduras","272","","166","","133","","150","","155","","149"," a","141"," a","135"," a","132"," a","129",""
"43","Hungary","24","","20","","15","","14","","15","","16"," a","16"," a","16"," a","16"," a","17",""
"6","Iceland","7","","6","","5","","4","","4","","3"," a","3"," a","4"," a","4"," a","3",""
"129","India","556","","471","","374","","280","","215","","206"," a","197"," a","189"," a","181"," a","174",""
"111","Indonesia","446","","326","","265","","212","","165","","156"," a","148"," a","140"," a","133"," a","126",""
"65","Iran (Islamic Republic of)","123","","80","","51","","34","","27","","27"," a","26"," a","26"," a","26"," a","25",""
"120","Iraq","107","","87","","63","","54","","51","","51"," a","51"," a","50"," a","50"," a","50",""
"3","Ireland","11","","10","","9","","8","","7","","8"," a","8"," a","8"," a","8"," a","8",""
"22","Israel","11","","10","","8","","7","","6","","6"," a","5"," a","5"," a","5"," a","5",""
"29","Italy","8","","7","","5","","4","","4","","4"," a","4"," a","4"," a","4"," a","4",""
"96","Jamaica","79","","81","","89","","92","","93","","93"," a","92"," a","91"," a","90"," a","89",""
"19","Japan","14","","11","","10","","7","","6","","6"," a","6"," a","6"," a","6"," a","5",""
"102","Jordan","110","","93","","77","","62","","59","","59"," a","59"," a","59"," a","59"," a","58",""
"50","Kazakhstan","78","","92","","65","","44","","20","","17"," a","15"," a","13"," a","12"," a","12",""
