"Share of seats in parliament (% held by women)"
"79","Colombia","9.8"," b","9.8","","12.2","","10.9","","13.8","","13.6","","13.6","","13.6","","20.9","","20.9","","20.9","","19.8","","19.0",""
"156","Comoros","0.1"," b","0.1","","..","","3.0","","3.0","","3.0","","3.0","","3.0","","3.0","","3.0","","3.0","","6.1","","6.1",""
"138","Congo","..","","..","","12.0","","10.1","","9.2","","9.6","","9.6","","9.6","","11.5","","11.5","","11.5","","14.0","","14.0",""
"179","Congo (Democratic Republic of the)","..","","..","","..","","10.2","","7.7","","..","","8.3","","8.3","","9.7","","8.2","","8.2","","8.2","","8.2",""
"68","Costa Rica","15.8"," b","15.8","","19.3","","35.1","","38.6","","38.6","","38.6","","38.6","","33.3","","33.3","","33.3","","35.1","","45.6",""
"46","Croatia","7.2"," b","7.2","","16.1","","21.7","","23.5","","23.8","","23.8","","23.8","","23.8","","15.2","","12.6","","18.5","","18.5",""
"72","Cuba","22.8"," b","22.8","","27.6","","36.0","","43.2","","45.2","","45.2","","48.9","","48.9","","48.9","","48.9","","48.9","","53.2",""
"31","Cyprus","5.4"," b","5.4","","7.1","","16.1","","12.5","","10.7","","10.7","","10.7","","12.5","","12.5","","17.9","","17.9","","17.9",""
"26","Czechia","13.9"," b","13.9","","..","","15.7","","21.0","","21.0","","20.6","","18.9","","18.5","","19.6","","19.6","","21.1","","20.3",""
"165","Côte d'Ivoire","8.0"," b","8.0","","..","","8.5","","8.9","","11.0","","10.4","","10.4","","9.4","","9.2","","9.2"," d","9.2"," d","9.2"," d"
"11","Denmark","33.0"," b","33.0","","37.4","","36.9","","38.0","","39.1","","39.1","","39.1","","39.1","","37.4","","37.4","","37.4","","37.4",""
"171","Djibouti","..","","..","","0.1","","10.8","","13.8","","13.8","","13.8","","12.7","","12.7","","12.7","","12.7","","10.8","","26.2",""
"98","Dominica","9.4"," b","9.4","","..","","12.9","","12.5","","12.5","","12.5","","12.5","","12.9","","21.9","","21.9","","25.0","","25.0",""
"89","Dominican Republic","10.0"," b","10.0","","14.5","","15.4","","19.1","","19.1","","19.1","","19.1","","19.1","","19.1","","24.3","","24.3","","24.3",""
"85","Ecuador","3.7"," b","3.7","","14.6","","16.0","","32.3","","32.3","","32.3","","38.7","","41.6","","41.6","","41.6","","38.0","","38.0",""
"116","Egypt","2.0"," b","2.0","","2.0","","3.8","","..","","..","","2.2","","..","","..","","..","","14.9","","14.9","","14.9",""
"124","El Salvador","15.5"," b","15.5","","9.5","","10.7","","19.0","","19.0","","26.2","","26.2","","27.4","","32.1","","32.1","","32.1","","31.0",""
"144","Equatorial Guinea","8.8"," b","8.8","","5.0","","18.0","","10.0","","10.0","","10.0","","10.3","","18.3","","19.7","","19.7","","..","","18.0",""
"182","Eritrea","21.0"," b","21.0","","14.7","","22.0","","22.0","","22.0","","22.0","","22.0","","22.0","","22.0","","22.0","","22.0","","22.0",""
"30","Estonia","10.9"," b","10.9","","17.8","","18.8","","22.8","","19.8","","20.8","","20.8","","19.0","","23.8","","23.8","","26.7","","26.7",""
"138","Eswatini (Kingdom of)","8.5"," b","8.5","","6.3","","16.8","","21.9","","21.9","","21.9","","14.7","","14.7","","14.7","","14.7","","14.7","","12.1",""
"173","Ethiopia","..","","..","","..","","21.0","","25.5","","25.5","","25.5","","25.5","","25.5","","37.3","","37.3","","37.3","","37.3",""
"98","Fiji","5.8"," b","5.8","","..","","9.7","","..","","..","","..","","..","","14.0","","16.0","","16.0","","16.0","","19.6",""
"12","Finland","33.5"," b","33.5","","36.5","","37.5","","40.0","","42.5","","42.5","","42.5","","42.5","","41.5","","41.5","","42.0","","42.0",""
"26","France","9.0"," b","9.0","","9.1","","13.9","","20.0","","20.1","","25.1","","25.1","","25.7","","25.7","","25.7","","35.4","","35.7",""
"115","Gabon","9.6"," b","9.6","","10.9","","11.9","","16.1","","15.8","","16.7","","16.7","","15.8","","16.0","","16.0","","17.4","","17.4"," a"
"174","Gambia","2.0"," b","2.0","","2.0","","13.2","","7.5","","7.5","","7.5","","7.5","","9.4","","9.4","","9.4","","10.3","","10.3",""
"70","Georgia","6.9"," b","6.9","","7.2","","9.4","","6.5","","6.6","","12.0","","12.0","","12.0","","11.3","","16.0","","16.0","","16.0",""
"4","Germany","25.5"," b","25.5","","30.4","","30.5","","31.7","","32.4","","32.4","","35.6","","35.6","","36.9","","36.9","","31.5","","31.5",""
"142","Ghana","9.0"," b","9.0","","..","","10.9","","8.3","","8.3","","..","","10.9","","10.9","","10.9","","10.9","","12.7","","12.7",""
"32","Greece","6.3"," b","6.3","","8.7","","13.0","","17.3","","18.7","","21.0","","21.0","","21.0","","19.7","","19.7","","18.3","","18.7",""
"78","Grenada","..","","..","","17.9","","32.1","","21.4","","17.9","","17.9","","25.0","","25.0","","25.0","","25.0","","25.0","","39.3",""
"126","Guatemala","12.5"," b","12.5","","8.8","","8.2","","12.0","","13.3","","13.3","","13.3","","13.3","","13.9","","13.9","","12.7","","12.7",""
"174","Guinea","7.0"," b","7.0","","8.8","","19.3","","..","","..","","..","","..","","21.9","","21.9","","21.9","","21.9","","21.9",""
"178","Guinea-Bissau","10.0"," b","10.0","","7.8","","14.0","","10.0","","10.0","","14.0","","14.0","","13.7","","13.7","","13.7","","13.7","","13.7",""
"123","Guyana","..","","..","","18.5","","30.8","","30.0","","31.3","","31.3","","31.3","","31.3","","30.4","","30.4","","31.9","","31.9",""
"169","Haiti","..","","..","","..","","9.1","","..","","4.0","","3.5","","3.5","","3.5","","3.5","","0.1","","2.7","","2.7",""
"132","Honduras","..","","..","","9.4","","23.4","","18.0","","19.5","","19.5","","..","","25.8","","25.8","","25.8","","..","","21.1",""
"43","Hungary","11.4"," b","11.4","","8.3","","9.1","","9.1","","8.8","","8.8","","8.8","","10.1","","10.1","","10.1","","10.1","","12.6",""
"6","Iceland","25.4"," b","25.4","","34.9","","33.3","","42.9","","39.7","","39.7","","39.7","","39.7","","41.3","","47.6","","38.1","","38.1",""
"129","India","7.3"," b","7.3","","..","","9.3","","10.7","","10.9","","10.9","","10.9","","11.8","","12.2","","11.7","","11.6","","11.7",""
"111","Indonesia","11.4"," b","11.4","","8.0","","11.3","","18.0","","18.2","","18.6","","18.6","","16.9","","17.1","","17.1","","19.8","","19.8",""
"65","Iran (Islamic Republic of)","4.9"," b","4.9","","3.4","","4.1","","2.8","","2.8","","3.1","","3.1","","3.1","","3.1","","5.9","","5.9","","5.9",""
"120","Iraq","6.4"," b","6.4","","7.6","","..","","25.2","","25.2","","25.2","","25.2","","25.3","","26.5","","26.5","","25.3","","25.2",""
"3","Ireland","13.7"," b","13.7","","13.7","","14.2","","16.1","","19.0","","19.0","","19.9","","19.5","","19.9","","24.3","","24.3","","24.3",""
"22","Israel","7.5"," b","7.5","","12.5","","15.0","","19.2","","20.0","","20.0","","22.5","","22.5","","26.7","","26.7","","27.5","","27.5",""
"29","Italy","10.0"," b","10.0","","10.0","","10.4","","20.3","","20.6","","20.6","","30.6","","30.6","","30.1","","30.1","","30.1","","35.6",""
"96","Jamaica","12.3"," b","12.3","","16.0","","13.6","","13.6","","15.5","","15.5","","15.5","","16.7","","16.7","","19.0","","19.0","","19.0",""
"19","Japan","7.7"," b","7.7","","10.7","","10.7","","13.6","","13.4","","11.3","","10.8","","10.8","","11.6","","13.3","","13.7","","13.7",""
"102","Jordan","1.7"," b","1.7","","2.5","","7.3","","12.2","","11.1","","11.1","","12.1","","12.0","","11.6","","15.4","","15.4","","15.4",""
"50","Kazakhstan","11.4"," b","11.4","","11.2","","8.6","","13.6","","13.6","","18.2","","18.2","","19.8","","20.1","","20.8","","22.1","","22.1",""
"147","Kenya","3.0"," b","3.0","","3.6","","7.1","","9.8","","9.8","","9.8","","19.9","","20.3","","20.8","","20.8","","23.3","","23.3",""
"132","Kiribati","0.1"," b","0.1","","4.9","","4.8","","4.3","","8.7","","8.7","","8.7","","8.7","","8.7","","6.5","","6.5","","6.5",""
"..","Korea (Democratic People's Rep. of)","20.1"," b","20.1","","20.1","","20.1","","15.6","","15.6","","15.6","","15.6","","16.3","","16.3","","16.3","","16.3","","16.3",""
