"","year","gdi","countrycode","scenario"
"920",2011,0.988,"SVK","Observed"
"921",2011,1.011,"SVN","Observed"
"922",2011,0.986,"ZAF","Observed"
"923",2011,0.828,"SSD","Observed"
"924",2011,0.979,"ESP","Observed"
"925",2011,0.928,"LKA","Observed"
"926",2011,0.805,"SDN","Observed"
"927",2011,0.974,"SUR","Observed"
"928",2011,0.996,"SWE","Observed"
"929",2011,0.983,"CHE","Observed"
"930",2011,0.84,"SYR","Observed"
"931",2011,0.839,"TJK","Observed"
"932",2011,0.925,"TZA","Observed"
"933",2011,1.005,"THA","Observed"
"934",2011,0.943,"MKD","Observed"
"935",2011,0.884,"TLS","Observed"
"936",2011,0.784,"TGO","Observed"
"937",2011,0.954,"TON","Observed"
"938",2011,1.009,"TTO","Observed"
"939",2011,0.884,"TUN","Observed"
"940",2011,0.909,"TUR","Observed"
"941",2011,0.86,"UGA","Observed"
"942",2011,1.001,"UKR","Observed"
"943",2011,0.949,"ARE","Observed"
"944",2011,0.955,"GBR","Observed"
"945",2011,0.996,"USA","Observed"
"946",2011,1.008,"URY","Observed"
"948",2011,1.025,"VEN","Observed"
"949",2011,1.002,"VNM","Observed"
"950",2011,0.65,"YEM","Observed"
"951",2011,0.913,"ZMB","Observed"
"952",2011,0.921,"ZWE","Observed"
"981",2012,0.595,"AFG","Observed"
"982",2012,0.964,"ALB","Observed"
"983",2012,0.841,"DZA","Observed"
"984",2012,0.998,"ARG","Observed"
"985",2012,0.967,"ARM","Observed"
"986",2012,0.975,"AUS","Observed"
"987",2012,0.961,"AUT","Observed"
"988",2012,0.942,"AZE","Observed"
"990",2012,0.951,"BHR","Observed"
"991",2012,0.843,"BGD","Observed"
"992",2012,1.024,"BRB","Observed"
"993",2012,1.026,"BLR","Observed"
"994",2012,0.97,"BEL","Observed"
"995",2012,0.974,"BLZ","Observed"
"996",2012,0.846,"BEN","Observed"
"997",2012,0.908,"BTN","Observed"
"998",2012,0.921,"BOL","Observed"
"999",2012,0.916,"BIH","Observed"
"1000",2012,0.987,"BWA","Observed"
"1001",2012,1.014,"BRA","Observed"
"1002",2012,0.987,"BRN","Observed"
"1003",2012,0.991,"BGR","Observed"
"1004",2012,0.844,"BFA","Observed"
"1005",2012,0.986,"BDI","Observed"
"1007",2012,0.907,"KHM","Observed"
"1008",2012,0.86,"CMR","Observed"
"1009",2012,0.984,"CAN","Observed"
"1010",2012,0.765,"CAF","Observed"
"1011",2012,0.767,"TCD","Observed"
"1012",2012,0.961,"CHL","Observed"
"1013",2012,0.945,"CHN","Observed"
"1014",2012,0.994,"COL","Observed"
"1015",2012,0.865,"COM","Observed"
"1016",2012,0.924,"COG","Observed"
"1017",2012,0.81,"COD","Observed"
"1018",2012,0.973,"CRI","Observed"
"1019",2012,0.988,"HRV","Observed"
"1020",2012,0.958,"CUB","Observed"
"1021",2012,0.974,"CYP","Observed"
"1022",2012,0.98,"CZE","Observed"
"1023",2012,0.757,"CIV","Observed"
"1024",2012,0.981,"DNK","Observed"
"1025",2012,0.995,"DOM","Observed"
"1026",2012,0.96,"ECU","Observed"
"1027",2012,0.794,"EGY","Observed"
"1028",2012,0.96,"SLV","Observed"
"1029",2012,1.023,"EST","Observed"
"1030",2012,0.931,"SWZ","Observed"
"1031",2012,0.832,"ETH","Observed"
"1033",2012,1.004,"FIN","Observed"
"1034",2012,0.991,"FRA","Observed"
"1035",2012,0.906,"GAB","Observed"
"1036",2012,0.813,"GMB","Observed"
"1037",2012,0.964,"GEO","Observed"
"1038",2012,0.963,"DEU","Observed"
"1039",2012,0.891,"GHA","Observed"
"1040",2012,0.964,"GRC","Observed"
"1041",2012,0.923,"GTM","Observed"
"1042",2012,0.795,"GIN","Observed"
"1043",2012,0.947,"GUY","Observed"
"1044",2012,0.871,"HTI","Observed"
"1045",2012,0.962,"HND","Observed"
"1046",2012,0.966,"HKG","Observed"
"1047",2012,0.99,"HUN","Observed"
"1048",2012,0.979,"ISL","Observed"
"1049",2012,0.812,"IND","Observed"
"1050",2012,0.928,"IDN","Observed"
"1051",2012,0.864,"IRN","Observed"
"1052",2012,0.816,"IRQ","Observed"
"1053",2012,0.978,"IRL","Observed"
"1054",2012,0.971,"ISR","Observed"
"1055",2012,0.972,"ITA","Observed"
"1056",2012,0.982,"JAM","Observed"
"1057",2012,0.964,"JPN","Observed"
"1058",2012,0.849,"JOR","Observed"
"1059",2012,1.01,"KAZ","Observed"
"1060",2012,0.924,"KEN","Observed"
"1061",2012,0.928,"KOR","Observed"
"1062",2012,0.979,"KWT","Observed"
"1063",2012,0.959,"KGZ","Observed"
"1064",2012,0.914,"LAO","Observed"
"1065",2012,1.026,"LVA","Observed"
"1066",2012,0.896,"LBN","Observed"
"1067",2012,1.007,"LSO","Observed"
"1068",2012,0.866,"LBR","Observed"
"1069",2012,0.948,"LBY","Observed"
"1070",2012,1.033,"LTU","Observed"
"1071",2012,0.972,"LUX","Observed"
"1072",2012,0.942,"MDG","Observed"
"1073",2012,0.915,"MWI","Observed"
"1074",2012,0.966,"MYS","Observed"
"1075",2012,0.929,"MDV","Observed"
"1076",2012,0.776,"MLI","Observed"
"1077",2012,0.94,"MLT","Observed"
"1078",2012,0.828,"MRT","Observed"
"1079",2012,0.954,"MUS","Observed"
"1080",2012,0.948,"MEX","Observed"
"1081",2012,1.012,"MDA","Observed"
"1082",2012,1.027,"MNG","Observed"
"1083",2012,0.955,"MNE","Observed"
"1084",2012,0.821,"MAR","Observed"
"1085",2012,0.897,"MOZ","Observed"
"1087",2012,0.987,"NAM","Observed"
"1088",2012,0.903,"NPL","Observed"
"1089",2012,0.967,"NLD","Observed"
"1090",2012,0.964,"NZL","Observed"
"1091",2012,0.943,"NIC","Observed"
"1092",2012,0.218,"NER","Observed"
"1093",2012,0.862,"NGA","Observed"
"1094",2012,0.996,"NOR","Observed"
"1095",2012,0.929,"OMN","Observed"
"1096",2012,0.732,"PAK","Observed"
"1097",2012,0.86,"PSE","Observed"
"1098",2012,0.995,"PAN","Observed"
"1100",2012,0.97,"PRY","Observed"
"1101",2012,0.944,"PER","Observed"
"1102",2012,0.991,"PHL","Observed"
"1103",2012,1.008,"POL","Observed"
"1104",2012,0.989,"PRT","Observed"
"1105",2012,1.033,"QAT","Observed"
"1106",2012,0.983,"ROU","Observed"
"1107",2012,1.021,"RUS","Observed"
"1108",2012,0.936,"RWA","Observed"
"1109",2012,0.989,"LCA","Observed"
"1110",2012,0.886,"STP","Observed"
"1111",2012,0.884,"SAU","Observed"
"1112",2012,0.885,"SEN","Observed"
"1113",2012,0.969,"SRB","Observed"
"1114",2012,0.861,"SLE","Observed"
"1115",2012,0.976,"SGP","Observed"
"1116",2012,0.989,"SVK","Observed"
"1117",2012,1.005,"SVN","Observed"
"1118",2012,0.979,"ZAF","Observed"
"1119",2012,0.823,"SSD","Observed"
"1120",2012,0.979,"ESP","Observed"
"1121",2012,0.929,"LKA","Observed"
"1122",2012,0.812,"SDN","Observed"
"1123",2012,0.975,"SUR","Observed"
"1124",2012,1,"SWE","Observed"
"1125",2012,0.989,"CHE","Observed"
"1126",2012,0.835,"SYR","Observed"
"1127",2012,0.841,"TJK","Observed"
"1128",2012,0.942,"TZA","Observed"
"1129",2012,1.004,"THA","Observed"
"1130",2012,0.946,"MKD","Observed"
"1131",2012,0.877,"TLS","Observed"
"1132",2012,0.786,"TGO","Observed"
"1133",2012,0.955,"TON","Observed"
"1134",2012,1.008,"TTO","Observed"
"1135",2012,0.888,"TUN","Observed"
"1136",2012,0.914,"TUR","Observed"
"1137",2012,0.863,"UGA","Observed"
"1138",2012,0.999,"UKR","Observed"
"1139",2012,0.95,"ARE","Observed"
"1140",2012,0.958,"GBR","Observed"
"1141",2012,0.994,"USA","Observed"
"1142",2012,1.01,"URY","Observed"
"1144",2012,1.027,"VEN","Observed"
"1145",2012,1.006,"VNM","Observed"
"1146",2012,0.641,"YEM","Observed"
"1147",2012,0.92,"ZMB","Observed"
"1148",2012,0.927,"ZWE","Observed"
"1177",2013,0.602,"AFG","Observed"
"1178",2013,0.961,"ALB","Observed"
"1179",2013,0.844,"DZA","Observed"
"1180",2013,0.998,"ARG","Observed"
"1181",2013,0.971,"ARM","Observed"
"1182",2013,0.975,"AUS","Observed"
"1183",2013,0.962,"AUT","Observed"
"1184",2013,0.952,"AZE","Observed"
"1186",2013,0.949,"BHR","Observed"
"1187",2013,0.865,"BGD","Observed"
"1188",2013,1.022,"BRB","Observed"
"1189",2013,1.025,"BLR","Observed"
"1190",2013,0.971,"BEL","Observed"
"1191",2013,0.973,"BLZ","Observed"
"1192",2013,0.855,"BEN","Observed"
"1193",2013,0.892,"BTN","Observed"
"1194",2013,0.922,"BOL","Observed"
"1195",2013,0.914,"BIH","Observed"
"1196",2013,0.99,"BWA","Observed"
"1197",2013,1.003,"BRA","Observed"
"1198",2013,0.99,"BRN","Observed"
"1199",2013,0.991,"BGR","Observed"
"1200",2013,0.853,"BFA","Observed"
"1201",2013,0.989,"BDI","Observed"
"1203",2013,0.909,"KHM","Observed"
"1204",2013,0.862,"CMR","Observed"
"1205",2013,0.985,"CAN","Observed"
"1206",2013,0.756,"CAF","Observed"
"1207",2013,0.768,"TCD","Observed"
"1208",2013,0.957,"CHL","Observed"
"1209",2013,0.949,"CHN","Observed"
"1210",2013,0.996,"COL","Observed"
"1211",2013,0.869,"COM","Observed"
"1212",2013,0.927,"COG","Observed"
"1213",2013,0.807,"COD","Observed"
"1214",2013,0.975,"CRI","Observed"
"1215",2013,0.993,"HRV","Observed"
"1216",2013,0.958,"CUB","Observed"
"1217",2013,0.976,"CYP","Observed"
"1218",2013,0.985,"CZE","Observed"
"1219",2013,0.769,"CIV","Observed"
"1220",2013,0.981,"DNK","Observed"
"1221",2013,0.994,"DOM","Observed"
"1222",2013,0.963,"ECU","Observed"
"1223",2013,0.837,"EGY","Observed"
"1224",2013,0.976,"SLV","Observed"
"1225",2013,1.021,"EST","Observed"
"1226",2013,0.943,"SWZ","Observed"
"1227",2013,0.834,"ETH","Observed"
"1229",2013,1.001,"FIN","Observed"
"1230",2013,0.99,"FRA","Observed"
"1231",2013,0.906,"GAB","Observed"
"1232",2013,0.817,"GMB","Observed"
"1233",2013,0.971,"GEO","Observed"
"1234",2013,0.965,"DEU","Observed"
"1235",2013,0.894,"GHA","Observed"
"1236",2013,0.963,"GRC","Observed"
"1237",2013,0.923,"GTM","Observed"
"1238",2013,0.799,"GIN","Observed"
"1239",2013,0.945,"GUY","Observed"
"1240",2013,0.877,"HTI","Observed"
"1241",2013,0.969,"HND","Observed"
"1242",2013,0.966,"HKG","Observed"
"1243",2013,0.991,"HUN","Observed"
"1244",2013,0.977,"ISL","Observed"
"1245",2013,0.825,"IND","Observed"
"1246",2013,0.925,"IDN","Observed"
"1247",2013,0.858,"IRN","Observed"
"1248",2013,0.818,"IRQ","Observed"
"1249",2013,0.98,"IRL","Observed"
"1250",2013,0.972,"ISR","Observed"
"1251",2013,0.968,"ITA","Observed"
"1252",2013,0.982,"JAM","Observed"
"1253",2013,0.968,"JPN","Observed"
"1254",2013,0.847,"JOR","Observed"
"1255",2013,1.01,"KAZ","Observed"
"1256",2013,0.927,"KEN","Observed"
"1257",2013,0.93,"KOR","Observed"
"1258",2013,0.994,"KWT","Observed"
"1259",2013,0.958,"KGZ","Observed"
"1260",2013,0.92,"LAO","Observed"
"1261",2013,1.022,"LVA","Observed"
"1262",2013,0.894,"LBN","Observed"
"1263",2013,1.009,"LSO","Observed"
"1264",2013,0.873,"LBR","Observed"
"1265",2013,0.933,"LBY","Observed"
"1266",2013,1.028,"LTU","Observed"
"1267",2013,0.971,"LUX","Observed"
"1268",2013,0.942,"MDG","Observed"
"1269",2013,0.92,"MWI","Observed"
"1270",2013,0.972,"MYS","Observed"
"1271",2013,0.929,"MDV","Observed"
"1272",2013,0.781,"MLI","Observed"
"1273",2013,0.95,"MLT","Observed"
"1274",2013,0.837,"MRT","Observed"
"1275",2013,0.959,"MUS","Observed"
"1276",2013,0.951,"MEX","Observed"
"1277",2013,1.008,"MDA","Observed"
"1278",2013,1.018,"MNG","Observed"
"1279",2013,0.956,"MNE","Observed"
"1280",2013,0.823,"MAR","Observed"
"1281",2013,0.901,"MOZ","Observed"
"1283",2013,0.994,"NAM","Observed"
"1284",2013,0.91,"NPL","Observed"
"1285",2013,0.966,"NLD","Observed"
"1286",2013,0.965,"NZL","Observed"
"1287",2013,0.945,"NIC","Observed"
"1288",2013,0.23,"NER","Observed"
"1289",2013,0.864,"NGA","Observed"
"1290",2013,0.994,"NOR","Observed"
"1291",2013,0.94,"OMN","Observed"
"1292",2013,0.734,"PAK","Observed"
"1293",2013,0.861,"PSE","Observed"
"1294",2013,0.999,"PAN","Observed"
"1296",2013,0.949,"PRY","Observed"
"1297",2013,0.947,"PER","Observed"
"1298",2013,0.99,"PHL","Observed"
"1299",2013,1.008,"POL","Observed"
"1300",2013,0.985,"PRT","Observed"
"1301",2013,1.025,"QAT","Observed"
"1302",2013,0.985,"ROU","Observed"
"1303",2013,1.02,"RUS","Observed"
"1304",2013,0.939,"RWA","Observed"
"1305",2013,0.988,"LCA","Observed"
"1306",2013,0.89,"STP","Observed"
"1307",2013,0.881,"SAU","Observed"
"1308",2013,0.89,"SEN","Observed"
"1309",2013,0.974,"SRB","Observed"
"1310",2013,0.867,"SLE","Observed"
"1311",2013,0.978,"SGP","Observed"
"1312",2013,0.989,"SVK","Observed"
"1313",2013,0.996,"SVN","Observed"
"1314",2013,0.983,"ZAF","Observed"
"1315",2013,0.824,"SSD","Observed"
"1316",2013,0.979,"ESP","Observed"
"1317",2013,0.935,"LKA","Observed"
"1318",2013,0.81,"SDN","Observed"
"1319",2013,0.976,"SUR","Observed"
"1320",2013,0.997,"SWE","Observed"
"1321",2013,0.989,"CHE","Observed"
"1322",2013,0.821,"SYR","Observed"
"1323",2013,0.919,"TJK","Observed"
"1324",2013,0.945,"TZA","Observed"
"1325",2013,1.002,"THA","Observed"
"1326",2013,0.947,"MKD","Observed"
"1327",2013,0.848,"TLS","Observed"
"1328",2013,0.788,"TGO","Observed"
"1329",2013,0.951,"TON","Observed"
"1330",2013,1.01,"TTO","Observed"
"1331",2013,0.89,"TUN","Observed"
"1332",2013,0.917,"TUR","Observed"
"1333",2013,0.861,"UGA","Observed"
"1334",2013,0.999,"UKR","Observed"
"1335",2013,0.96,"ARE","Observed"
"1336",2013,0.951,"GBR","Observed"
"1337",2013,0.991,"USA","Observed"
"1338",2013,1.007,"URY","Observed"
"1339",2013,0.946,"UZB","Observed"
"1340",2013,1.028,"VEN","Observed"
"1341",2013,1.008,"VNM","Observed"
"1342",2013,0.619,"YEM","Observed"
"1343",2013,0.926,"ZMB","Observed"
"1344",2013,0.931,"ZWE","Observed"
"1373",2014,0.608,"AFG","Observed"
"1374",2014,0.96,"ALB","Observed"
"1375",2014,0.841,"DZA","Observed"
"1376",2014,0.996,"ARG","Observed"
"1377",2014,0.971,"ARM","Observed"
"1378",2014,0.975,"AUS","Observed"
"1379",2014,0.971,"AUT","Observed"
"1380",2014,0.955,"AZE","Observed"
"1382",2014,0.945,"BHR","Observed"
"1383",2014,0.876,"BGD","Observed"
"1384",2014,1.02,"BRB","Observed"
"1385",2014,1.025,"BLR","Observed"
"1386",2014,0.971,"BEL","Observed"
"1387",2014,0.972,"BLZ","Observed"
"1388",2014,0.86,"BEN","Observed"
"1389",2014,0.886,"BTN","Observed"
"1390",2014,0.926,"BOL","Observed"
"1391",2014,0.912,"BIH","Observed"
"1392",2014,0.992,"BWA","Observed"
"1393",2014,1.008,"BRA","Observed"
"1394",2014,0.99,"BRN","Observed"
"1395",2014,0.991,"BGR","Observed"
"1396",2014,0.86,"BFA","Observed"
"1397",2014,0.993,"BDI","Observed"
"1399",2014,0.912,"KHM","Observed"
"1400",2014,0.864,"CMR","Observed"
"1401",2014,0.985,"CAN","Observed"
"1402",2014,0.762,"CAF","Observed"
"1403",2014,0.769,"TCD","Observed"
"1404",2014,0.959,"CHL","Observed"
"1405",2014,0.953,"CHN","Observed"
"1406",2014,0.992,"COL","Observed"
"1407",2014,0.871,"COM","Observed"
"1408",2014,0.931,"COG","Observed"
"1409",2014,0.82,"COD","Observed"
"1410",2014,0.976,"CRI","Observed"
"1411",2014,0.996,"HRV","Observed"
"1412",2014,0.949,"CUB","Observed"
"1413",2014,0.982,"CYP","Observed"
"1414",2014,0.983,"CZE","Observed"
"1415",2014,0.781,"CIV","Observed"
"1416",2014,0.974,"DNK","Observed"
"1417",2014,0.995,"DOM","Observed"
"1418",2014,0.966,"ECU","Observed"
"1419",2014,0.842,"EGY","Observed"
"1420",2014,0.972,"SLV","Observed"
"1421",2014,1.019,"EST","Observed"
"1422",2014,0.945,"SWZ","Observed"
"1423",2014,0.838,"ETH","Observed"
"1425",2014,1.001,"FIN","Observed"
"1426",2014,0.988,"FRA","Observed"
"1427",2014,0.91,"GAB","Observed"
"1428",2014,0.819,"GMB","Observed"
"1429",2014,0.975,"GEO","Observed"
"1430",2014,0.966,"DEU","Observed"
"1431",2014,0.898,"GHA","Observed"
"1432",2014,0.963,"GRC","Observed"
"1433",2014,0.943,"GTM","Observed"
"1434",2014,0.805,"GIN","Observed"
"1435",2014,0.945,"GUY","Observed"
"1436",2014,0.882,"HTI","Observed"
"1437",2014,0.971,"HND","Observed"
"1438",2014,0.966,"HKG","Observed"
"1439",2014,0.988,"HUN","Observed"
"1440",2014,0.971,"ISL","Observed"
"1441",2014,0.832,"IND","Observed"
"1442",2014,0.926,"IDN","Observed"
"1443",2014,0.857,"IRN","Observed"
"1444",2014,0.82,"IRQ","Observed"
"1445",2014,0.982,"IRL","Observed"
"1446",2014,0.972,"ISR","Observed"
"1447",2014,0.968,"ITA","Observed"
"1448",2014,0.98,"JAM","Observed"
"1449",2014,0.971,"JPN","Observed"
"1450",2014,0.851,"JOR","Observed"
"1451",2014,1.007,"KAZ","Observed"
"1452",2014,0.929,"KEN","Observed"
"1453",2014,0.931,"KOR","Observed"
"1454",2014,0.992,"KWT","Observed"
"1455",2014,0.961,"KGZ","Observed"
"1456",2014,0.925,"LAO","Observed"
"1457",2014,1.011,"LVA","Observed"
"1458",2014,0.891,"LBN","Observed"
"1459",2014,1.011,"LSO","Observed"
"1460",2014,0.834,"LBR","Observed"
"1461",2014,0.925,"LBY","Observed"
"1462",2014,1.028,"LTU","Observed"
"1463",2014,0.974,"LUX","Observed"
"1464",2014,0.943,"MDG","Observed"
"1465",2014,0.927,"MWI","Observed"
"1466",2014,0.975,"MYS","Observed"
"1467",2014,0.93,"MDV","Observed"
"1468",2014,0.789,"MLI","Observed"
"1469",2014,0.954,"MLT","Observed"
"1470",2014,0.84,"MRT","Observed"
"1471",2014,0.963,"MUS","Observed"
"1472",2014,0.951,"MEX","Observed"
"1473",2014,1.006,"MDA","Observed"
"1474",2014,1.025,"MNG","Observed"
"1475",2014,0.955,"MNE","Observed"
"1476",2014,0.825,"MAR","Observed"
"1477",2014,0.903,"MOZ","Observed"
"1479",2014,1.003,"NAM","Observed"
"1480",2014,0.915,"NPL","Observed"
"1481",2014,0.965,"NLD","Observed"
"1482",2014,0.965,"NZL","Observed"
"1483",2014,0.946,"NIC","Observed"
"1484",2014,0.277,"NER","Observed"
"1485",2014,0.865,"NGA","Observed"
"1486",2014,0.993,"NOR","Observed"
"1487",2014,0.943,"OMN","Observed"
"1488",2014,0.736,"PAK","Observed"
"1489",2014,0.865,"PSE","Observed"
"1490",2014,1.004,"PAN","Observed"
"1492",2014,0.978,"PRY","Observed"
"1493",2014,0.949,"PER","Observed"
"1494",2014,0.994,"PHL","Observed"
"1495",2014,1.007,"POL","Observed"
"1496",2014,0.984,"PRT","Observed"
"1497",2014,1.028,"QAT","Observed"
"1498",2014,0.987,"ROU","Observed"
"1499",2014,1.019,"RUS","Observed"
"1500",2014,0.942,"RWA","Observed"
"1501",2014,0.987,"LCA","Observed"
"1502",2014,0.887,"STP","Observed"
"1503",2014,0.878,"SAU","Observed"
"1504",2014,0.896,"SEN","Observed"
"1505",2014,0.972,"SRB","Observed"
"1506",2014,0.869,"SLE","Observed"
"1507",2014,0.978,"SGP","Observed"
"1508",2014,0.989,"SVK","Observed"
"1509",2014,1,"SVN","Observed"
"1510",2014,0.986,"ZAF","Observed"
"1511",2014,0.826,"SSD","Observed"
"1512",2014,0.977,"ESP","Observed"
"1513",2014,0.934,"LKA","Observed"
"1514",2014,0.824,"SDN","Observed"
"1515",2014,0.977,"SUR","Observed"
"1516",2014,0.996,"SWE","Observed"
"1517",2014,0.988,"CHE","Observed"
"1518",2014,0.81,"SYR","Observed"
"1519",2014,0.918,"TJK","Observed"
"1520",2014,0.926,"TZA","Observed"
"1521",2014,0.999,"THA","Observed"
"1522",2014,0.945,"MKD","Observed"
"1523",2014,0.848,"TLS","Observed"
"1524",2014,0.797,"TGO","Observed"
"1525",2014,0.951,"TON","Observed"
"1526",2014,1.01,"TTO","Observed"
"1527",2014,0.893,"TUN","Observed"
"1528",2014,0.918,"TUR","Observed"
"1529",2014,0.862,"UGA","Observed"
"1530",2014,0.996,"UKR","Observed"
"1531",2014,0.963,"ARE","Observed"
"1532",2014,0.955,"GBR","Observed"
"1533",2014,0.993,"USA","Observed"
"1534",2014,1.009,"URY","Observed"
"1535",2014,0.947,"UZB","Observed"
"1536",2014,1.029,"VEN","Observed"
"1537",2014,1.009,"VNM","Observed"
"1538",2014,0.6,"YEM","Observed"
"1539",2014,0.933,"ZMB","Observed"
"1540",2014,0.926,"ZWE","Observed"
"1569",2015,0.614,"AFG","Observed"
"1570",2015,0.968,"ALB","Observed"
"1571",2015,0.859,"DZA","Observed"
"1572",2015,0.999,"ARG","Observed"
"1573",2015,0.974,"ARM","Observed"
"1574",2015,0.975,"AUS","Observed"
"1575",2015,0.972,"AUT","Observed"
"1576",2015,0.954,"AZE","Observed"
"1578",2015,0.937,"BHR","Observed"
"1579",2015,0.879,"BGD","Observed"
"1580",2015,1.016,"BRB","Observed"
"1581",2015,1.024,"BLR","Observed"
"1582",2015,0.97,"BEL","Observed"
"1583",2015,0.973,"BLZ","Observed"
"1584",2015,0.882,"BEN","Observed"
"1585",2015,0.889,"BTN","Observed"
"1586",2015,0.925,"BOL","Observed"
"1587",2015,0.913,"BIH","Observed"
"1588",2015,0.979,"BWA","Observed"
"1589",2015,1.018,"BRA","Observed"
"1590",2015,0.993,"BRN","Observed"
"1591",2015,0.991,"BGR","Observed"
"1592",2015,0.865,"BFA","Observed"
"1593",2015,0.999,"BDI","Observed"
"1594",2015,0.946,"CPV","Observed"
"1595",2015,0.912,"KHM","Observed"
"1596",2015,0.865,"CMR","Observed"
"1597",2015,0.985,"CAN","Observed"
"1598",2015,0.77,"CAF","Observed"
"1599",2015,0.789,"TCD","Observed"
"1600",2015,0.961,"CHL","Observed"
"1601",2015,0.956,"CHN","Observed"
"1602",2015,0.996,"COL","Observed"
"1603",2015,0.874,"COM","Observed"
"1604",2015,0.935,"COG","Observed"
"1605",2015,0.833,"COD","Observed"
"1606",2015,0.979,"CRI","Observed"
"1607",2015,0.99,"HRV","Observed"
"1608",2015,0.944,"CUB","Observed"
"1609",2015,0.988,"CYP","Observed"
"1610",2015,0.985,"CZE","Observed"
"1611",2015,0.789,"CIV","Observed"
"1612",2015,0.979,"DNK","Observed"
"1613",2015,1.002,"DOM","Observed"
"1614",2015,0.974,"ECU","Observed"
"1615",2015,0.852,"EGY","Observed"
"1616",2015,0.972,"SLV","Observed"
"1617",2015,1.02,"EST","Observed"
"1618",2015,0.945,"SWZ","Observed"
"1619",2015,0.844,"ETH","Observed"
"1621",2015,1.002,"FIN","Observed"
"1622",2015,0.988,"FRA","Observed"
"1623",2015,0.911,"GAB","Observed"
"1624",2015,0.82,"GMB","Observed"
"1625",2015,0.979,"GEO","Observed"
"1626",2015,0.967,"DEU","Observed"
"1627",2015,0.898,"GHA","Observed"
"1628",2015,0.963,"GRC","Observed"
"1629",2015,0.948,"GTM","Observed"
"1630",2015,0.806,"GIN","Observed"
"1631",2015,0.947,"GUY","Observed"
"1632",2015,0.881,"HTI","Observed"
"1633",2015,0.977,"HND","Observed"
"1634",2015,0.965,"HKG","Observed"
"1635",2015,0.986,"HUN","Observed"
"1636",2015,0.966,"ISL","Observed"
"1637",2015,0.832,"IND","Observed"
"1638",2015,0.928,"IDN","Observed"
"1639",2015,0.861,"IRN","Observed"
"1640",2015,0.819,"IRQ","Observed"
"1641",2015,0.979,"IRL","Observed"
"1642",2015,0.973,"ISR","Observed"
"1643",2015,0.967,"ITA","Observed"
"1644",2015,0.982,"JAM","Observed"
"1645",2015,0.972,"JPN","Observed"
"1646",2015,0.855,"JOR","Observed"
"1647",2015,1.007,"KAZ","Observed"
"1648",2015,0.931,"KEN","Observed"
"1649",2015,0.932,"KOR","Observed"
"1650",2015,0.989,"KWT","Observed"
"1651",2015,0.966,"KGZ","Observed"
"1652",2015,0.929,"LAO","Observed"
"1653",2015,1.029,"LVA","Observed"
"1654",2015,0.888,"LBN","Observed"
"1655",2015,1.01,"LSO","Observed"
"1656",2015,0.835,"LBR","Observed"
"1657",2015,0.924,"LBY","Observed"
"1658",2015,1.027,"LTU","Observed"
"1659",2015,0.968,"LUX","Observed"
"1660",2015,0.943,"MDG","Observed"
"1661",2015,0.933,"MWI","Observed"
"1662",2015,0.977,"MYS","Observed"
"1663",2015,0.921,"MDV","Observed"
"1664",2015,0.805,"MLI","Observed"
"1665",2015,0.96,"MLT","Observed"
"1666",2015,0.838,"MRT","Observed"
"1667",2015,0.965,"MUS","Observed"
"1668",2015,0.952,"MEX","Observed"
"1669",2015,1.006,"MDA","Observed"
"1670",2015,1.026,"MNG","Observed"
"1671",2015,0.956,"MNE","Observed"
"1672",2015,0.826,"MAR","Observed"
"1673",2015,0.904,"MOZ","Observed"
"1675",2015,1.003,"NAM","Observed"
"1676",2015,0.921,"NPL","Observed"
"1677",2015,0.966,"NLD","Observed"
"1678",2015,0.964,"NZL","Observed"
"1679",2015,0.946,"NIC","Observed"
"1680",2015,0.807,"NER","Observed"
"1681",2015,0.867,"NGA","Observed"
"1682",2015,0.992,"NOR","Observed"
"1683",2015,0.945,"OMN","Observed"
"1684",2015,0.743,"PAK","Observed"
"1685",2015,0.874,"PSE","Observed"
"1686",2015,1.004,"PAN","Observed"
"1688",2015,0.975,"PRY","Observed"
"1689",2015,0.945,"PER","Observed"
"1690",2015,0.995,"PHL","Observed"
"1691",2015,1.006,"POL","Observed"
"1692",2015,0.984,"PRT","Observed"
"1693",2015,1.03,"QAT","Observed"
"1694",2015,0.986,"ROU","Observed"
"1695",2015,1.02,"RUS","Observed"
"1696",2015,0.942,"RWA","Observed"
"1697",2015,0.99,"LCA","Observed"
"1698",2015,0.895,"STP","Observed"
"1699",2015,0.879,"SAU","Observed"
"1700",2015,0.901,"SEN","Observed"
"1701",2015,0.974,"SRB","Observed"
"1702",2015,0.868,"SLE","Observed"
"1703",2015,0.979,"SGP","Observed"
"1704",2015,0.99,"SVK","Observed"
"1705",2015,1.001,"SVN","Observed"
"1706",2015,0.984,"ZAF","Observed"
"1707",2015,0.827,"SSD","Observed"
"1708",2015,0.978,"ESP","Observed"
"1709",2015,0.935,"LKA","Observed"
"1710",2015,0.825,"SDN","Observed"
"1711",2015,0.976,"SUR","Observed"
"1712",2015,0.992,"SWE","Observed"
"1713",2015,0.988,"CHE","Observed"
"1714",2015,0.802,"SYR","Observed"
"1715",2015,0.917,"TJK","Observed"
"1716",2015,0.924,"TZA","Observed"
"1717",2015,0.999,"THA","Observed"
"1718",2015,0.948,"MKD","Observed"
"1719",2015,0.857,"TLS","Observed"
"1720",2015,0.821,"TGO","Observed"
"1721",2015,0.951,"TON","Observed"
