"","year","gdi","countrycode","scenario"
"225",2000,0.976,"CAN","Observed"
"226",2000,0.731,"CAF","Observed"
"228",2000,0.927,"CHL","Observed"
"229",2000,0.913,"CHN","Observed"
"230",2000,0.96,"COL","Observed"
"232",2000,0.877,"COG","Observed"
"234",2000,0.941,"CRI","Observed"
"235",2000,0.962,"HRV","Observed"
"236",2000,0.908,"CUB","Observed"
"237",2000,0.947,"CYP","Observed"
"238",2000,0.971,"CZE","Observed"
"239",2000,0.737,"CIV","Observed"
"240",2000,0.989,"DNK","Observed"
"243",2000,0.805,"EGY","Observed"
"244",2000,0.943,"SLV","Observed"
"245",2000,1.032,"EST","Observed"
"246",2000,0.851,"SWZ","Observed"
"247",2000,0.744,"ETH","Observed"
"248",2000,0.927,"FJI","Observed"
"249",2000,0.996,"FIN","Observed"
"250",2000,0.984,"FRA","Observed"
"251",2000,0.918,"GAB","Observed"
"252",2000,0.797,"GMB","Observed"
"253",2000,0.94,"GEO","Observed"
"254",2000,0.943,"DEU","Observed"
"255",2000,0.851,"GHA","Observed"
"256",2000,0.947,"GRC","Observed"
"257",2000,0.897,"GTM","Observed"
"258",2000,0.728,"GIN","Observed"
"259",2000,0.926,"GUY","Observed"
"261",2000,0.916,"HND","Observed"
"263",2000,0.983,"HUN","Observed"
"264",2000,0.993,"ISL","Observed"
"265",2000,0.747,"IND","Observed"
"266",2000,0.897,"IDN","Observed"
"267",2000,0.796,"IRN","Observed"
"268",2000,0.729,"IRQ","Observed"
"269",2000,0.979,"IRL","Observed"
"270",2000,0.976,"ISR","Observed"
"271",2000,0.952,"ITA","Observed"
"272",2000,0.976,"JAM","Observed"
"273",2000,0.958,"JPN","Observed"
"274",2000,0.837,"JOR","Observed"
"275",2000,1.003,"KAZ","Observed"
"276",2000,0.888,"KEN","Observed"
"277",2000,0.925,"KOR","Observed"
"278",2000,0.972,"KWT","Observed"
"279",2000,0.959,"KGZ","Observed"
"280",2000,0.847,"LAO","Observed"
"281",2000,1.033,"LVA","Observed"
"283",2000,0.969,"LSO","Observed"
"284",2000,0.759,"LBR","Observed"
"285",2000,0.889,"LBY","Observed"
"286",2000,1.025,"LTU","Observed"
"287",2000,0.98,"LUX","Observed"
"289",2000,0.867,"MWI","Observed"
"290",2000,0.926,"MYS","Observed"
"291",2000,0.902,"MDV","Observed"
"292",2000,0.736,"MLI","Observed"
"293",2000,0.898,"MLT","Observed"
"294",2000,0.79,"MRT","Observed"
"295",2000,0.913,"MUS","Observed"
"296",2000,0.922,"MEX","Observed"
"297",2000,0.987,"MDA","Observed"
"298",2000,1.009,"MNG","Observed"
"300",2000,0.777,"MAR","Observed"
"301",2000,0.829,"MOZ","Observed"
"303",2000,0.951,"NAM","Observed"
"304",2000,0.77,"NPL","Observed"
"305",2000,0.957,"NLD","Observed"
"306",2000,0.979,"NZL","Observed"
"307",2000,0.906,"NIC","Observed"
"308",2000,0.706,"NER","Observed"
"310",2000,0.99,"NOR","Observed"
"311",2000,0.869,"OMN","Observed"
"312",2000,0.62,"PAK","Observed"
"314",2000,0.977,"PAN","Observed"
"315",2000,0.862,"PNG","Observed"
"316",2000,0.922,"PRY","Observed"
"317",2000,0.921,"PER","Observed"
"318",2000,0.97,"PHL","Observed"
"319",2000,0.988,"POL","Observed"
"320",2000,0.982,"PRT","Observed"
"321",2000,1.021,"QAT","Observed"
"322",2000,0.963,"ROU","Observed"
