"","countrycode","year","mmr","abr","scenario","edu.f","edu.m","id","parl.f","flfp","mlfp","parl.m","health","empower","lfpr","gf","gm","gfm","harm","gii"
"39","CRI",1995,44,87.3388,"SSP2",0.394,0.382,"CRI1995",0.158,0.388199996948242,0.866750030517578,0.842,0.50065054914675,0.408320087410874,0.62747501373291,0.170320691303231,0.789212334696688,0.504325150072204,0.280176266555286,0.444453114195925
"40","HRV",1995,12,19.7364,"SSP2",0.768,0.889,"HRV1995",0.072,0.555709991455078,0.738519973754883,0.928,0.510555792005296,0.571720858835348,0.64711498260498,0.299449429780632,0.875378155205946,0.573767881186658,0.44624673912783,0.222252144534633
"41","CUB",1995,55,61.7652,"SSP2",0.685,0.729,"CUB1995",0.228,0.415069999694824,0.750469970703125,0.772,0.500735924848532,0.572694064628864,0.582769985198974,0.207233642739031,0.825724640250375,0.550819791135002,0.331316235934024,0.398503392096126
"42","CYP",1995,17,17.5652,"SSP2",0.641,0.729,"CYP1995",0.054,0.547080001831055,0.805619964599609,0.946,0.508372169034763,0.508245215881484,0.676349983215332,0.265078949837075,0.874607473764962,0.55908200839886,0.406848806591081,0.272291362485006
"43","CZE",1995,10,26.374,"SSP2",0.984,0.99,"CZE1995",0.139,0.64036003112793,0.804589996337891,0.861,0.509479032380375,0.64654104492018,0.722475013732911,0.358602837635463,0.905658777389372,0.61970036128339,0.513773104619511,0.170933023896428
"44","CIV",1995,711,142.2136,"SSP2",0.058,0.169,"CIV1995",0.08,0.490169982910156,0.829830017089844,0.92,0.500024724600195,0.231213534277193,0.66,0.0692468643493065,0.689089240362974,0.424146826946473,0.125847282901256,0.703293117132907
"45","DNK",1995,11,8.3646,"SSP2",0.993,0.996,"DNK1995",0.33,0.733040008544922,0.856320037841797,0.67,0.527170782496799,0.694669351546905,0.79468002319336,0.517186024143389,0.887703077955675,0.6626851756759,0.653585574579211,0.0137314088660693
"47","DOM",1995,198,111.1024,"SSP2",0.459,0.424,"DOM1995",0.1,0.375099983215332,0.790699996948242,0.9,0.500113645273426,0.415990330657753,0.582899990081787,0.119661109146643,0.787538825068823,0.494973554482127,0.207755238397971,0.580270023485723
"48","ECU",1995,131,84.7828,"SSP2",0.412,0.414,"ECU1995",0.037,0.507190017700195,0.829670028686523,0.963,0.500225092465284,0.377439648238429,0.668430023193359,0.1233985947363,0.806132143843488,0.50159859744502,0.214033962715497,0.573296329364325
"49","EGY",1995,83,68.4656,"SSP2",0.316,0.466,"EGY1995",0.02,0.228570003509521,0.747939987182617,0.98,0.500439935996,0.377639728640824,0.488254995346069,0.0913483778367156,0.796570556442662,0.45188241803199,0.163901062032386,0.637292677271673
"50","SLV",1995,118,97.5772,"SSP2",0.3,0.346,"SLV1995",0.155,0.453610000610352,0.858720016479492,0.845,0.500217124909077,0.37817553972435,0.656165008544922,0.142319575343706,0.774353614809056,0.498832819779003,0.240447040034242,0.517980713176076
"51","GNQ",1995,1000,192.1474,"SSP2",0.089,0.318,"GNQ1995",0.088,0.509049987792969,0.703010025024414,0.912,0.500013010844799,0.313514961847478,0.606030006408692,0.068753240381069,0.723420534943782,0.456293800517297,0.125572210251962,0.724799657348836
"53","EST",1995,43,37.0564,"SSP2",0.864,0.909,"EST1995",0.109,0.665449981689453,0.79927001953125,0.891,0.501568947196266,0.603418041668005,0.732360000610351,0.252914210846456,0.895993320764287,0.605189218987646,0.394478123626005,0.348173907846734
"54","SWZ",1995,537,118.2174,"SSP2",0.252,0.303,"SWZ1995",0.085,0.331870002746582,0.72802001953125,0.915,0.500039380780514,0.336448163868631,0.529945011138916,0.084791040079901,0.726426581808149,0.446736111593837,0.151856823005998,0.660074887467205
"56","FJI",1995,51,52.4358,"SSP2",0.592,0.581,"FJI1995",0.058,0.404280014038086,0.805869979858398,0.942,0.500934850004065,0.462549189199054,0.605074996948242,0.166080774585217,0.84163960744929,0.519496699396213,0.27741853875094,0.465985945486524
"57","FIN",1995,10,10.2304,"SSP2",0.715,0.746,"FIN1995",0.335,0.691050033569336,0.746669998168945,0.665,0.524436972161401,0.596874740438037,0.718860015869141,0.472874835450204,0.807178612254248,0.608238084595645,0.596372681364443,0.0195078268390424
"58","FRA",1995,15,7.5466,"SSP2",0.647,0.71,"FRA1995",0.09,0.604799995422363,0.743099975585938,0.91,0.52208500075089,0.522556194595313,0.673949985504151,0.351361867207425,0.842168589018926,0.568635490060309,0.495849814971147,0.128000584489446
"59","GAB",1995,405,162.1248,"SSP2",0.169,0.31,"GAB1995",0.096,0.360390014648438,0.601660003662109,0.904,0.500038074616013,0.328375229473416,0.481025009155274,0.0827433614237796,0.682923516705702,0.429055730380888,0.147603060760903,0.655981611922836
"60","GMB",1995,977,140.7438,"SSP2",0.066,0.192,"GMB1995",0.02,0.464410018920898,0.701429977416992,0.98,0.500018180933253,0.2350529695122,0.582919998168945,0.0524013178521837,0.672588325806704,0.409185432854417,0.0972276361532358,0.762387347284115
"61","GEO",1995,35,63.8948,"SSP2",0.86,0.892,"GEO1995",0.069,0.633660011291504,0.777220001220703,0.931,0.501117908991476,0.577444710463436,0.705440006256103,0.217731416179307,0.891388606351947,0.588803169179935,0.349977098392233,0.405612746820523
"62","DEU",1995,10,14.2316,"SSP2",0.939,0.951,"DEU1995",0.255,0.614910011291504,0.798710021972656,0.745,0.517566542061328,0.665526313280494,0.70681001663208,0.430456425763232,0.876030397825555,0.624421775905359,0.577262483018534,0.0755247409788804
"63","GHA",1995,532,95.9624,"SSP2",0.304,0.491,"GHA1995",0.09,0.73338996887207,0.779329986572266,0.91,0.500048969681045,0.41692353193481,0.756359977722168,0.119296824009895,0.80462639749576,0.540255456375114,0.207786472948131,0.615392180687466
"64","GRC",1995,10,13.9564,"SSP2",0.51,0.59,"GRC1995",0.063,0.450040016174316,0.772490005493164,0.937,0.517912928835516,0.461386908603339,0.61126501083374,0.278466696953083,0.83124597771742,0.526644054761228,0.417178837466619,0.207854273308447
"66","GTM",1995,173,122.6274,"SSP2",0.174,0.206,"GTM1995",0.125,0.413470001220703,0.877080001831055,0.875,0.500117843704197,0.286018703172301,0.645275001525879,0.109804197290491,0.719436192279133,0.451929344037318,0.190528861325574,0.578410068212254
"67","GIN",1995,964,176.7412,"SSP2",0.041,0.147,"GIN1995",0.07,0.653929977416992,0.696449966430664,0.93,0.500014673211429,0.211657767519377,0.675189971923828,0.0645042395276022,0.636204428483461,0.414967719928605,0.117132510890448,0.717731029992887
"68","GNB",1995,780,135.9776,"SSP2",0.038,0.143,"GNB1995",0.1,0.658789978027344,0.816750030517578,0.9,0.500023571001438,0.210195981161366,0.737770004272461,0.0733307170427016,0.664190731550447,0.426427587352355,0.132079094623265,0.690266064999851
"72","HUN",1995,20,29.9694,"SSP2",0.845,0.919,"HUN1995",0.114,0.503870010375977,0.681289978027344,0.886,0.504170921006093,0.606359951206616,0.592579994201661,0.272342292914488,0.850293525808086,0.565828861588208,0.412548547992026,0.270895184041945
"73","ISL",1995,10,24.3118,"SSP2",0.97,0.969,"ISL1995",0.254,0.81568000793457,0.896689987182617,0.746,0.510283072417509,0.673293385696748,0.856184997558594,0.434648310081913,0.913533632392939,0.665060326427933,0.589038967238636,0.114307463801985
"74","IND",1995,471,83.7028,"SSP2",0.219,0.41,"IND1995",0.073,0.322179985046387,0.865950012207031,0.927,0.500063413119111,0.371468942066155,0.594064998626709,0.0865699565001601,0.81122539835986,0.479653021920662,0.15644488928947,0.673837373810298
"75","IDN",1995,326,53.9528,"SSP2",0.31,0.405,"IDN1995",0.114,0.506860008239746,0.840510025024414,0.886,0.500142137417455,0.393506783961846,0.67368501663208,0.13146248425321,0.795540737201971,0.509918598728125,0.225638399558157,0.557501138179779
"76","IRN",1995,80,54.8324,"SSP2",0.376,0.499,"IRN1995",0.049,0.109799995422363,0.774940032958984,0.951,0.50056991851533,0.412305103060977,0.442370014190673,0.0892778153546611,0.811215442461772,0.450287315100995,0.160853047718688,0.642776861962877
"77","IRQ",1995,87,65.8752,"SSP2",0.212,0.38,"IRQ1995",0.064,0.0892700004577637,0.783980026245117,0.936,0.50043621320594,0.356435446469184,0.43662501335144,0.0757322659929989,0.776148650913152,0.427050671701208,0.137999325761485,0.676854914636365
"78","IRL",1995,10,17.386,"SSP2",0.691,0.661,"IRL1995",0.137,0.497029991149902,0.794100036621094,0.863,0.514379385712642,0.531478399531734,0.645565013885498,0.332246709336268,0.843322681905779,0.56092274839325,0.476690169137179,0.150167878727246
"79","ISR",1995,10,18.3286,"SSP2",0.625,0.619,"ISR1995",0.075,0.593079986572266,0.802689971923828,0.925,0.513639885206726,0.486596604119569,0.697884979248047,0.310698927592307,0.846878958868821,0.558732441413468,0.45461197453493,0.186351210635159
"80","ITA",1995,10,6.954,"SSP2",0.598,0.696,"ITA1995",0.1,0.426769981384277,0.732850036621094,0.9,0.535950532067875,0.517997371354562,0.579810009002686,0.340781259934173,0.833963409380568,0.543975479237615,0.483848292843906,0.11053289842766
"81","JAM",1995,81,95.318,"SSP2",0.699,0.655,"JAM1995",0.123,0.668730010986328,0.810759963989258,0.877,0.500323802403857,0.525566625775254,0.739744987487793,0.191809742550707,0.85016700725908,0.579411341034088,0.313001830064323,0.459793400823495
"82","JPN",1995,11,4.1114,"SSP2",0.924,0.925,"JPN1995",0.077,0.584659996032715,0.846650009155273,0.923,0.555278670835415,0.595367641619954,0.715655002593994,0.418566538333776,0.921421930935206,0.618490894209452,0.575641353371906,0.0692807949780984
"83","JOR",1995,93,44.5238,"SSP2",0.534,0.54,"JOR1995",0.017,0.129340000152588,0.717160034179688,0.983,0.500603760694957,0.411926244303545,0.423250017166138,0.0846051474727466,0.805433902407621,0.443578190369924,0.153125537810742,0.654794710075709
"84","KAZ",1995,92,46.746,"SSP2",0.859,0.906,"KAZ1995",0.114,0.730479965209961,0.824520034790039,0.886,0.500581309909799,0.604437748527975,0.7775,0.222551431383284,0.903983959311664,0.617317898549103,0.357171067600871,0.421414690161522
"85","KEN",1995,698,113.0004,"SSP2",0.298,0.42,"KEN1995",0.03,0.706689987182617,0.755709991455078,0.97,0.500031696010732,0.36641525455895,0.731199989318847,0.090951527766932,0.784251260696874,0.511684685404403,0.162999595645079,0.681445233178603
"87","PRK",1995,81,1.4496,"SSP2",0.824,0.91,"PRK1995",0.201,0.822740020751953,0.910319976806641,0.799,0.52129152699425,0.629832505821359,0.866529998779297,0.460595000279596,0.919029361025385,0.657702934787698,0.613645772966847,0.0669864151283933
"88","KOR",1995,19,3.4,"SSP2",0.68,0.818,"KOR1995",0.03,0.513520011901855,0.773820037841797,0.97,0.538699690402477,0.516796142919118,0.643670024871826,0.306727041583713,0.883352746092991,0.563780120580985,0.455344553011696,0.192336628431567
"89","KWT",1995,10,24.8564,"SSP2",0.488,0.465,"KWT1995",0.001,0.484160003662109,0.843470001220703,0.999,0.510057771841457,0.351829383529981,0.663815002441406,0.128971346893021,0.831494958882521,0.492038984349688,0.223306167300152,0.546161636775004
"90","KGZ",1995,92,65.0508,"SSP2",0.832,0.879,"KGZ1995",0.048,0.609910011291504,0.769010009765625,0.952,0.500417733725696,0.557306019357667,0.689460010528564,0.170795308245953,0.88936827774651,0.577180746772336,0.286559416204977,0.503518754207496
"92","LVA",1995,54,30.5624,"SSP2",0.928,0.948,"LVA1995",0.09,0.637610015869141,0.773809967041016,0.91,0.501514812197219,0.60890197731407,0.705709991455079,0.242970336546158,0.895749129371932,0.599541345631286,0.382254758855737,0.362421354855449
"93","LBN",1995,54,36.2972,"SSP2",0.511,0.528,"LBN1995",0.023,0.21423999786377,0.726539993286133,0.977,0.501275478447271,0.413321207294397,0.470389995574951,0.118380588262958,0.805084112230791,0.460193777386824,0.206410338708312,0.551470817618617
"94","LSO",1995,525,86.4576,"SSP2",0.164,0.148,"LSO1995",0.112,0.70036003112793,0.818290023803711,0.888,0.500055077919835,0.249026538350345,0.759325027465821,0.112104664441121,0.666931964068491,0.455579033906034,0.191945234154118,0.578678517076562
"97","LTU",1995,28,37.0152,"SSP2",0.773,0.856,"LTU1995",0.175,0.654150009155273,0.790400009155273,0.825,0.502412136481384,0.60407728279912,0.722275009155273,0.28697166605834,0.872509701092735,0.602955236664113,0.431892343712019,0.283707450487552
"98","LUX",1995,13,11.1042,"SSP2",0.637,0.747,"LUX1995",0.2,0.440769996643066,0.760189971923828,0.8,0.517318464392544,0.564988644777501,0.600479984283447,0.34596099818358,0.837611202085939,0.55988488729118,0.489671534186781,0.125406766101696
"99","MDG",1995,644,152.7538,"SSP2",0.103,0.15,"MDG1995",0.037,0.857040023803711,0.896640014648438,0.963,0.500025413361747,0.2208995405579,0.876840019226075,0.081101187089179,0.698488022197666,0.459235815463091,0.145328352657996,0.683543077946898
"100","MWI",1995,953,160.2796,"SSP2",0.136,0.309,"MWI1995",0.057,0.756999969482422,0.777460021972656,0.943,0.500016366991547,0.313924092280732,0.767229995727539,0.0813964985042483,0.748694054118874,0.493830770288372,0.146829943464963,0.702671537905137
"101","MYS",1995,68,16.4946,"SSP2",0.556,0.633,"MYS1995",0.103,0.471030006408691,0.80318000793457,0.897,0.502228893448908,0.496416523338586,0.63710500717163,0.219968120469425,0.845870064484463,0.541567981834042,0.349142019628521,0.355312663710035
"102","MDV",1995,340,67.723,"SSP2",0.124,0.132,"MDV1995",0.063,0.286089992523193,0.750370025634766,0.937,0.50010857376632,0.220036440168193,0.51823000907898,0.0807716107485073,0.641422336501454,0.384911147885912,0.143475905569621,0.627249285042409
"103","MLI",1995,911,193.1032,"SSP2",0.03,0.083,"MLI1995",0.122,0.624469985961914,0.822720031738281,0.878,0.500014211246122,0.165224890703529,0.723595008850098,0.0657959854899512,0.605591064636366,0.391006935911848,0.118695947126659,0.69643518765248
"104","MLT",1995,14,15.8268,"SSP2",0.636,0.728,"MLT1995",0.058,0.325009994506836,0.820950012207031,0.942,0.511282851149407,0.510089211871711,0.572980003356933,0.236697079094399,0.879297729164145,0.530659092731308,0.372989556236849,0.29712020137624
"106","MUS",1995,60,38.8018,"SSP2",0.342,0.416,"MUS1995",0.076,0.423250007629395,0.850500030517578,0.924,0.501073833344501,0.390603721375227,0.636875019073486,0.164754930672288,0.807890177933176,0.499532909402646,0.273694668442925,0.452098824139102
"107","MEX",1995,85,83.69,"SSP2",0.432,0.473,"MEX1995",0.139,0.395849990844727,0.851490020751953,0.861,0.500351437025999,0.441605353181785,0.62367000579834,0.153784024453536,0.816025824353438,0.516521154319082,0.25879657848693,0.498962285817517
"109","MDA",1995,66,60.1144,"SSP2",0.704,0.789,"MDA1995",0.048,0.558930015563965,0.565629997253418,0.952,0.500630111718304,0.525251207445428,0.562280006408691,0.172783016419544,0.788490508338514,0.528784710712253,0.283452659290076,0.463954510128941
"110","MNG",1995,205,34.2264,"SSP2",0.773,0.796,"MNG1995",0.079,0.564679985046387,0.682929992675781,0.921,0.500356307468832,0.551669657431087,0.623804988861084,0.174000053549886,0.83622056738334,0.556334219149767,0.288060687911526,0.482216484271338
"112","MAR",1995,257,35.731,"SSP2",0.123,0.225,"MAR1995",0.007,0.252849998474121,0.808720016479492,0.993,0.500272246129667,0.251010669599952,0.530785007476807,0.0625592876200102,0.725751638894316,0.405451657190535,0.115189334540978,0.715898720604202
"113","MOZ",1995,1000,186.5462,"SSP2",0.053,0.131,"MOZ1995",0.252,0.874869995117188,0.80286003112793,0.748,0.5000134015059,0.214299255835905,0.838865013122559,0.0904613034743062,0.63106693861318,0.447951982512632,0.158239510296442,0.64674894525781
"115","NAM",1995,320,90.2088,"SSP2",0.255,0.281,"NAM1995",0.173,0.505960006713867,0.651910018920898,0.827,0.500086604632807,0.346050529758263,0.578935012817382,0.125526849752299,0.679878316108405,0.464449163717661,0.211925591872218,0.54370551520457
"116","NPL",1995,660,127.7948,"SSP2",0.109,0.31,"NPL1995",0.045,0.84984001159668,0.92120002746582,0.955,0.500029640320169,0.30707023725127,0.88552001953125,0.0865385021043937,0.794350472698177,0.514214066167364,0.15607392536301,0.696480637866854
"117","NLD",1995,13,6.5476,"SSP2",0.762,0.861,"NLD1995",0.284,0.58140998840332,0.796650009155273,0.716,0.529370714812709,0.62517829445583,0.689029998779296,0.452587059871751,0.855214818627067,0.610942931781787,0.591923236515717,0.0311317052324358
"118","NZL",1995,15,31.2764,"SSP2",0.735,0.783,"NZL1995",0.292,0.655709991455078,0.836419982910156,0.708,0.505328831536451,0.603913611347876,0.746064987182617,0.353968239541377,0.85396611147551,0.610625849026895,0.500485611411767,0.180372707429024
"119","NIC",1995,212,135.4746,"SSP2",0.244,0.244,"NIC1995",0.108,0.34867000579834,0.863050003051758,0.892,0.500087045489193,0.314430294713906,0.605860004425049,0.10183760339143,0.738421669581951,0.456717259080301,0.178990213000378,0.60809404627972
"120","NER",1995,828,220.8514,"SSP2",0.011,0.037,"NER1995",0.012,0.703130035400391,0.914390029907227,0.988,0.500013671290612,0.101342679782808,0.808760032653809,0.0390918109305931,0.559161084839393,0.344771465339559,0.0730748469847475,0.788048448520015
"122","MKD",1995,13,38.1342,"SSP2",0.523,0.665,"MKD1995",0.033,0.483289985656738,0.739229965209961,0.967,0.505042919277386,0.466640307581907,0.611259975433349,0.208143189292279,0.840042401016967,0.524218285049951,0.333622415925084,0.363581116035862
"123","NOR",1995,10,13.99,"SSP2",0.992,0.994,"NOR1995",0.364,0.722210006713867,0.810859985351563,0.636,0.517869907076483,0.698002988187164,0.766534996032715,0.487738521462053,0.863884880340896,0.651933525102828,0.623472386892454,0.0436565034845926
"125","PAK",1995,363,70.5898,"SSP2",0.118,0.293,"PAK1995",0.026,0.128640003204346,0.856060028076172,0.974,0.500097564412161,0.294800549136051,0.492350015640259,0.0520187378505565,0.770440614966505,0.417143673367799,0.0974573351062092,0.766369859287593
"127","PAN",1995,94,95.5882,"SSP2",0.527,0.489,"PAN1995",0.097,0.460149993896484,0.854039993286133,0.903,0.500278232508624,0.445300095858248,0.657094993591309,0.151405450202301,0.827927238697978,0.527024556237282,0.255996144579995,0.514261448446175
"129","PRY",1995,147,91.093,"SSP2",0.3,0.307,"PRY1995",0.056,0.559790000915527,0.886650009155273,0.944,0.500186697141614,0.333976498820419,0.7232200050354,0.125629858098218,0.78151227290993,0.494355638290821,0.216462828903287,0.562131364271108
"130","PER",1995,206,76.4246,"SSP2",0.532,0.626,"PER1995",0.108,0.52,0.798410034179688,0.892,0.500158796020262,0.493478063529793,0.659205017089844,0.146455925200534,0.841844463532576,0.545923876405867,0.249505334991639,0.542966802195433
"131","PHL",1995,122,49.8316,"SSP2",0.509,0.497,"PHL1995",0.116,0.489230003356934,0.784240036010742,0.884,0.500411221058097,0.452911512047938,0.636735019683838,0.168936261566665,0.804052571977988,0.524525224709932,0.279209032889254,0.467691886422317
"132","POL",1995,13,23.1656,"SSP2",0.926,0.94,"POL1995",0.127,0.599539985656738,0.729160003662109,0.873,0.508301433690804,0.624406133447655,0.664349994659424,0.334613931069961,0.870892657509331,0.59519847569284,0.483469469897459,0.18771722435163
"133","PRT",1995,15,20.9882,"SSP2",0.354,0.367,"PRT1995",0.13,0.595149993896484,0.774720001220703,0.87,0.507940970005368,0.38979012263244,0.684934997558593,0.283371066506594,0.759298384085158,0.513764955390643,0.412716019967463,0.196683199900911
"135","ROU",1995,77,43.0854,"SSP2",0.762,0.85,"ROU1995",0.056,0.661179962158203,0.792919998168945,0.944,0.500753562284847,0.551169924200577,0.727049980163574,0.195731287002746,0.892226141910586,0.585451974765137,0.32103566998588,0.451644739750568
"136","RUS",1995,82,41.7594,"SSP2",0.755,0.866,"RUS1995",0.075,0.656360015869141,0.774550018310547,0.925,0.500730082445582,0.566487023528645,0.715455017089844,0.203604508735784,0.885033602963502,0.587658913192042,0.331050015628739,0.436662989027864
"137","RWA",1995,1000,55.0658,"SSP2",0.04,0.07,"RWA1995",0.171,0.874789962768555,0.897829971313477,0.829,0.50004540023027,0.16179923007319,0.886309967041016,0.0991585776555227,0.60026100090726,0.415454856623193,0.170201203673344,0.590325637166129
"138","LCA",1995,43,79.7338,"SSP2",0.384,0.33,"LCA1995",0.143,0.558600006103516,0.826620025634766,0.857,0.500729170500888,0.383065965200464,0.692610015869141,0.191922710875224,0.760357383806867,0.510256339450295,0.306485142657369,0.399350642095796
"139","VCT",1995,81,80.8662,"SSP2",0.405,0.308,"VCT1995",0.095,0.526940002441406,0.851750030517578,0.905,0.500381669937883,0.362054392074245,0.689345016479492,0.159248305076004,0.766132587042788,0.499847223680516,0.26368669807026,0.472465414274665
"140","WSM",1995,119,40.524,"SSP2",0.475,0.434,"WSM1995",0.041,0.267290000915527,0.448479995727539,0.959,0.500518418797783,0.392346576094595,0.357884998321533,0.119315611271535,0.66140237216406,0.412677833312743,0.202161676829642,0.510122278178106
"141","STP",1995,263,119.2828,"SSP2",0.071,0.156,"STP1995",0.073,0.396300010681152,0.763259963989258,0.927,0.500079690478611,0.226135950140203,0.579779987335205,0.0798636768004073,0.662101974343967,0.403234190593343,0.142534625440845,0.646521478669477
